SDS 2.3 RQ Results	1.2
Filename	145A.sdm
Assay Type	RQ Study
EmbeddedFile	CNMP-145-A
Run DateTime	Sun Jul 18 14:24:02 GMT 2010
Operator	
ThermalCycleParams	

#  	Status	Detector	Sample	Task	Avg Ct	Avg Delta Ct	Delta Ct SD	Delta Delta Ct SD	RQ	Omit	Wells Omitted	Hide	RQ Min	RQ Max	PlateID	
153	Analyzed	hsa-miR-30c-4373060	CNMP-145-A	Target	25.143	5.617		0.000	1.000	false	0/1	false				
154	Analyzed	hsa-miR-31-4395390	CNMP-145-A	Target	28.608	9.082		0.000	1.000	false	0/1	false				
155	Analyzed	hsa-miR-32-4395220	CNMP-145-A	Target	35.991	16.465		0.000	1.000	false	0/1	false				
156	Analyzed	hsa-miR-320-4395388	CNMP-145-A	Target	25.235	5.708		0.000	1.000	false	0/1	false				
157	Analyzed	hsa-miR-323-3p-4395338	CNMP-145-A	Target	31.658	12.131		0.000	1.000	false	0/1	false				
158	Analyzed	hsa-miR-324-3p-4395272	CNMP-145-A	Target	28.828	9.301		0.000	1.000	false	0/1	false				
159	Analyzed	hsa-miR-324-5p-4373052	CNMP-145-A	Target	28.331	8.804		0.000	1.000	false	0/1	false				
160	Analyzed	hsa-miR-325-4373051	CNMP-145-A	Target	40.000	20.474				false	0/1	false				
161	Analyzed	hsa-miR-326-4373050	CNMP-145-A	Target	40.000	20.474				false	0/1	false				
162	Analyzed	hsa-miR-328-4373049	CNMP-145-A	Target	30.789	11.262		0.000	1.000	false	0/1	false				
163	Analyzed	hsa-miR-329-4373191	CNMP-145-A	Target	40.000	20.474				false	0/1	false				
164	Analyzed	hsa-miR-330-3p-4373047	CNMP-145-A	Target	34.401	14.875		0.000	1.000	false	0/1	false				
165	Analyzed	hsa-miR-330-5p-4395341	CNMP-145-A	Target	40.000	20.474				false	0/1	false				
166	Analyzed	hsa-miR-331-3p-4373046	CNMP-145-A	Target	25.702	6.176		0.000	1.000	false	0/1	false				
167	Analyzed	hsa-miR-331-5p-4395344	CNMP-145-A	Target	36.060	16.534		0.000	1.000	false	0/1	false				
168	Analyzed	hsa-miR-335-4373045	CNMP-145-A	Target	32.363	12.837		0.000	1.000	false	0/1	false				
169	Analyzed	hsa-miR-337-5p-4395267	CNMP-145-A	Target	34.491	14.964		0.000	1.000	false	0/1	false				
170	Analyzed	hsa-miR-338-3p-4395363	CNMP-145-A	Target	36.426	16.900		0.000	1.000	false	0/1	false				
171	Analyzed	hsa-miR-339-3p-4395295	CNMP-145-A	Target	30.504	10.978		0.000	1.000	false	0/1	false				
172	Analyzed	hsa-miR-339-5p-4395368	CNMP-145-A	Target	31.982	12.456		0.000	1.000	false	0/1	false				
173	Analyzed	hsa-miR-33b-4395196	CNMP-145-A	Target	40.000	20.474				false	0/1	false				
174	Analyzed	hsa-miR-340-4395369	CNMP-145-A	Target	29.635	10.109		0.000	1.000	false	0/1	false				
175	Analyzed	hsa-miR-342-3p-4395371	CNMP-145-A	Target	25.961	6.434		0.000	1.000	false	0/1	false				
176	Analyzed	hsa-miR-342-5p-4395258	CNMP-145-A	Target	40.000	20.474				false	0/1	false				
177	Analyzed	hsa-miR-345-4395297	CNMP-145-A	Target	27.097	7.571		0.000	1.000	false	0/1	false				
178	Analyzed	hsa-miR-346-4373038	CNMP-145-A	Target	40.000	20.474				false	0/1	false				
179	Analyzed	hsa-miR-34a-4395168	CNMP-145-A	Target	27.220	7.693		0.000	1.000	false	0/1	false				
180	Analyzed	hsa-miR-34c-5p-4373036	CNMP-145-A	Target	31.750	12.224		0.000	1.000	false	0/1	false				
181	Analyzed	hsa-miR-361-5p-4373035	CNMP-145-A	Target	32.167	12.641		0.000	1.000	false	0/1	false				
182	Analyzed	hsa-miR-362-3p-4395228	CNMP-145-A	Target	35.162	15.636		0.000	1.000	false	0/1	false				
183	Analyzed	hsa-miR-362-5p-4378092	CNMP-145-A	Target	29.999	10.472		0.000	1.000	false	0/1	false				
184	Analyzed	hsa-miR-363-4378090	CNMP-145-A	Target	34.419	14.893		0.000	1.000	false	0/1	false				
185	Analyzed	hsa-miR-365-4373194	CNMP-145-A	Target	28.137	8.611		0.000	1.000	false	0/1	false				
186	Analyzed	hsa-miR-367-4373034	CNMP-145-A	Target	37.232	17.706		0.000	1.000	false	0/1	false				
187	Analyzed	hsa-miR-369-3p-4373032	CNMP-145-A	Target	40.000	20.474				false	0/1	false				
188	Analyzed	hsa-miR-369-5p-4373195	CNMP-145-A	Target	40.000	20.474				false	0/1	false				
189	Analyzed	hsa-miR-370-4395386	CNMP-145-A	Target	36.877	17.351		0.000	1.000	false	0/1	false				
190	Analyzed	hsa-miR-371-3p-4395235	CNMP-145-A	Target	40.000	20.474				false	0/1	false				
191	Analyzed	hsa-miR-372-4373029	CNMP-145-A	Target	35.418	15.891		0.000	1.000	false	0/1	false				
192	Analyzed	hsa-miR-373-4378073	CNMP-145-A	Target	40.000	20.474				false	0/1	false				
193	Analyzed	hsa-miR-374a-4373028	CNMP-145-A	Target	30.375	10.848		0.000	1.000	false	0/1	false				
194	Analyzed	hsa-miR-374b-4381045	CNMP-145-A	Target	27.311	7.785		0.000	1.000	false	0/1	false				
195	Analyzed	hsa-miR-375-4373027	CNMP-145-A	Target	31.939	12.412		0.000	1.000	false	0/1	false				
196	Analyzed	hsa-miR-376a-4373026	CNMP-145-A	Target	34.195	14.669		0.000	1.000	false	0/1	false				
197	Analyzed	hsa-miR-376b-4373196	CNMP-145-A	Target	40.000	20.474				false	0/1	false				
198	Analyzed	hsa-miR-376c-4395233	CNMP-145-A	Target	32.624	13.098		0.000	1.000	false	0/1	false				
199	Analyzed	hsa-miR-377-4373025	CNMP-145-A	Target	40.000	20.474				false	0/1	false				
200	Analyzed	hsa-miR-379-4373349	CNMP-145-A	Target	34.816	15.289		0.000	1.000	false	0/1	false				
201	Analyzed	hsa-miR-380-4373022	CNMP-145-A	Target	40.000	20.474				false	0/1	false				
202	Analyzed	hsa-miR-381-4373020	CNMP-145-A	Target	39.754	20.228		0.000	1.000	false	0/1	false				
203	Analyzed	hsa-miR-382-4373019	CNMP-145-A	Target	40.000	20.474				false	0/1	false				
